model,table,country,category,tuned_hold_mase,default_hold_mase
lightgbm,DFF,philippines,F1,0.027124141349411924,0.0103106251928388
lightgbm,DFF,philippines,F2A,0.0842898718131596,0.1202561214663661
lightgbm,DFF,philippines,F2B,0.012444646651186018,0.0069155976498746
lightgbm,DFF,philippines,F3,0.11461212886812286,0.1203590250126216
lightgbm,DFF,philippines,F4,0.11551539238369961,0.1422064748811881
xgboost,FAD,all_chargeability,F1,0.14309372110224805,0.1646289437369232
xgboost,FAD,all_chargeability,F2A,0.14115199373608453,0.3213564156754791
xgboost,FAD,all_chargeability,F2B,0.06983608510331214,0.0981791018283203
xgboost,FAD,all_chargeability,F3,0.16206183468982227,0.3227747451418963
xgboost,FAD,all_chargeability,F4,0.07792339959946018,0.1741241775080014
xgboost,FAD,china,F1,0.1475057132023978,0.1285326323217286
xgboost,FAD,china,F2A,0.14708282524528785,0.3936274532855823
xgboost,FAD,china,F2B,0.06858512300452262,0.0909618024031951
xgboost,FAD,china,F3,0.16081699621267936,0.3026081001813979
xgboost,FAD,china,F4,0.09434641386053093,0.0911222587522287
xgboost,FAD,india,F1,0.13531625632731745,0.1416086452070698
xgboost,FAD,india,F2A,0.14012978490162212,0.2773565924713771
xgboost,FAD,india,F2B,0.06855042477216261,0.08084075163322
xgboost,FAD,india,F3,0.16096561576324603,0.3110681863363978
xgboost,FAD,india,F4,0.07133085012038969,0.060924099337216
xgboost,FAD,mexico,F1,0.3347561567669504,0.4303129736546505
xgboost,FAD,mexico,F2A,0.11817155196492712,0.1746645264879614
xgboost,FAD,mexico,F2B,0.37676039126787725,0.5414181935354913
xgboost,FAD,mexico,F3,0.2403493384977021,0.1382492403496215
xgboost,FAD,mexico,F4,0.09130244058386043,0.0847199263844113
xgboost,FAD,philippines,F1,0.07794726427418996,0.0794483355518913
xgboost,FAD,philippines,F2A,0.14473678232603351,0.3052998038436561
xgboost,FAD,philippines,F2B,0.11327651395513698,0.1175390327671355
xgboost,FAD,philippines,F3,0.16064758697676446,0.1990761040087811
xgboost,FAD,philippines,F4,0.15230644535138868,0.1755675263348075
xgboost,DFF,all_chargeability,F1,0.06912932193412492,0.0664696810435803
xgboost,DFF,all_chargeability,F2A,0.08360230616672991,0.1290149862932481
xgboost,DFF,all_chargeability,F2B,0.08387557840611384,0.0741767687485642
xgboost,DFF,all_chargeability,F3,0.21496752717381976,0.3109140447210577
xgboost,DFF,all_chargeability,F4,0.16270991959815687,0.1354048506833955
xgboost,DFF,china,F1,0.06912932193412492,0.0664696810435803
xgboost,DFF,china,F2A,0.08360230616672991,0.1290149862932481
xgboost,DFF,china,F2B,0.08387557840611384,0.0741767687485642
xgboost,DFF,china,F3,0.21496752717381976,0.3109140447210577
xgboost,DFF,china,F4,0.16270991959815687,0.1354048506833955
xgboost,DFF,india,F1,0.06912932193412492,0.0664696810435803
xgboost,DFF,india,F2A,0.08360230616672991,0.1290149862932481
xgboost,DFF,india,F2B,0.08387557840611384,0.0741767687485642
xgboost,DFF,india,F3,0.21496752717381976,0.3109140447210577
xgboost,DFF,india,F4,0.14578381833331738,0.1528095356116231
xgboost,DFF,mexico,F1,0.1270869941676907,0.1298909224221936
xgboost,DFF,mexico,F2A,0.08360230616672991,0.1290149862932481
xgboost,DFF,mexico,F2B,0.22822959857818956,0.3177056826916309
xgboost,DFF,mexico,F3,0.028891212924421556,0.0062521193475916
xgboost,DFF,mexico,F4,0.03011007757549904,0.0049876500662605
xgboost,DFF,philippines,F1,0.0167460887137007,2.8938181370504524e-06
xgboost,DFF,philippines,F2A,0.08360230616672991,0.1290149862932481
xgboost,DFF,philippines,F2B,0.011276533782282239,2.288150181919346e-06
xgboost,DFF,philippines,F3,0.1181147001863488,0.1335122768927296
xgboost,DFF,philippines,F4,0.11162596499230976,0.1696663177085429
