EB_level,final_action_dates,visa_bulletin_date,table_type,raw_value,status,visa_wait_time
EB4_RW,2021-02-01,2025-06-01 00:00:00,dates_for_filing,01FEB21,F,4.328542094455853
EB3,2023-03-01,2025-06-01 00:00:00,dates_for_filing,01MAR23,F,2.2532511978097194
EB3_OW,2021-07-22,2025-06-01 00:00:00,dates_for_filing,22JUL21,F,3.8603696098562628
EB4,2021-02-01,2025-06-01 00:00:00,dates_for_filing,01FEB21,F,4.328542094455853
EB1,2025-06-01,2025-06-01 00:00:00,dates_for_filing,C,C,0.0
EB5_UNRESERVED,2025-06-01,2025-06-01 00:00:00,dates_for_filing,C,C,0.0
EB5_RURAL,2025-06-01,2025-06-01 00:00:00,dates_for_filing,C,C,0.0
EB5_HIGHUNEMP,2025-06-01,2025-06-01 00:00:00,dates_for_filing,C,C,0.0
EB2,2023-11-15,2025-06-01 00:00:00,dates_for_filing,15NOV23,F,1.5441478439425051
EB5_INFRA,2025-06-01,2025-06-01 00:00:00,dates_for_filing,C,C,0.0
EB5_INFRA,2025-06-01,2025-06-01 00:00:00,final_action,C,C,0.0
EB3_OW,2021-06-22,2025-06-01 00:00:00,final_action,22JUN21,F,3.9425051334702257
EB5_HIGHUNEMP,2025-06-01,2025-06-01 00:00:00,final_action,C,C,0.0
EB2,2023-10-15,2025-06-01 00:00:00,final_action,15OCT23,F,1.6290212183436004
EB3,2023-02-08,2025-06-01 00:00:00,final_action,08FEB23,F,2.3107460643394937
EB1,2025-06-01,2025-06-01 00:00:00,final_action,C,C,0.0
EB4,,2025-06-01 00:00:00,final_action,U,U,
EB4_RW,,2025-06-01 00:00:00,final_action,U,U,
EB5_UNRESERVED,2025-06-01,2025-06-01 00:00:00,final_action,C,C,0.0
EB5_RURAL,2025-06-01,2025-06-01 00:00:00,final_action,C,C,0.0
EB1,2025-05-01,2025-05-01 00:00:00,dates_for_filing,C,C,0.0
EB5_HIGHUNEMP,2025-05-01,2025-05-01 00:00:00,dates_for_filing,C,C,0.0
EB5_RURAL,2025-05-01,2025-05-01 00:00:00,dates_for_filing,C,C,0.0
EB5_UNRESERVED,2025-05-01,2025-05-01 00:00:00,dates_for_filing,C,C,0.0
EB4_RW,2021-02-01,2025-05-01 00:00:00,dates_for_filing,01FEB21,F,4.243668720054757
EB4,2021-02-01,2025-05-01 00:00:00,dates_for_filing,01FEB21,F,4.243668720054757
EB3_OW,2021-06-22,2025-05-01 00:00:00,dates_for_filing,22JUN21,F,3.8576317590691307
EB3,2023-03-01,2025-05-01 00:00:00,dates_for_filing,01MAR23,F,2.1683778234086244
EB2,2023-08-01,2025-05-01 00:00:00,dates_for_filing,01AUG23,F,1.7494866529774127
EB5_INFRA,2025-05-01,2025-05-01 00:00:00,dates_for_filing,C,C,0.0
EB5_INFRA,2025-05-01,2025-05-01 00:00:00,final_action,C,C,0.0
EB3_OW,2021-05-22,2025-05-01 00:00:00,final_action,22MAY21,F,3.9425051334702257
EB1,2025-05-01,2025-05-01 00:00:00,final_action,C,C,0.0
EB2,2023-06-22,2025-05-01 00:00:00,final_action,22JUN23,F,1.8590006844626967
EB3,2023-01-01,2025-05-01 00:00:00,final_action,01JAN23,F,2.329911019849418
EB5_HIGHUNEMP,2025-05-01,2025-05-01 00:00:00,final_action,C,C,0.0
EB4,,2025-05-01 00:00:00,final_action,U,U,
EB4_RW,,2025-05-01 00:00:00,final_action,U,U,
EB5_UNRESERVED,2025-05-01,2025-05-01 00:00:00,final_action,C,C,0.0
EB5_RURAL,2025-05-01,2025-05-01 00:00:00,final_action,C,C,0.0
EB1,2025-04-01,2025-04-01 00:00:00,dates_for_filing,C,C,0.0
EB5_HIGHUNEMP,2025-04-01,2025-04-01 00:00:00,dates_for_filing,C,C,0.0
EB5_RURAL,2025-04-01,2025-04-01 00:00:00,dates_for_filing,C,C,0.0
EB5_UNRESERVED,2025-04-01,2025-04-01 00:00:00,dates_for_filing,C,C,0.0
EB4_RW,2021-02-01,2025-04-01 00:00:00,dates_for_filing,01FEB21,F,4.161533196440794
EB4,2021-02-01,2025-04-01 00:00:00,dates_for_filing,01FEB21,F,4.161533196440794
EB3_OW,2021-06-22,2025-04-01 00:00:00,dates_for_filing,22JUN21,F,3.7754962354551678
EB3,2023-03-01,2025-04-01 00:00:00,dates_for_filing,01MAR23,F,2.086242299794661
EB2,2023-08-01,2025-04-01 00:00:00,dates_for_filing,01AUG23,F,1.6673511293634498
EB5_INFRA,2025-04-01,2025-04-01 00:00:00,dates_for_filing,C,C,0.0
EB5_INFRA,2025-04-01,2025-04-01 00:00:00,final_action,C,C,0.0
EB5_HIGHUNEMP,2025-04-01,2025-04-01 00:00:00,final_action,C,C,0.0
EB5_UNRESERVED,2025-04-01,2025-04-01 00:00:00,final_action,C,C,0.0
EB4_RW,,2025-04-01 00:00:00,final_action,U,U,
EB4,,2025-04-01 00:00:00,final_action,U,U,
EB3_OW,2021-05-22,2025-04-01 00:00:00,final_action,22MAY21,F,3.8603696098562628
EB3,2023-01-01,2025-04-01 00:00:00,final_action,01JAN23,F,2.2477754962354553
EB2,2023-06-22,2025-04-01 00:00:00,final_action,22JUN23,F,1.7768651608487338
EB1,2025-04-01,2025-04-01 00:00:00,final_action,C,C,0.0
EB5_RURAL,2025-04-01,2025-04-01 00:00:00,final_action,C,C,0.0
EB4_RW,2021-02-01,2025-03-01 00:00:00,dates_for_filing,01FEB21,F,4.076659822039699
EB3,2023-03-01,2025-03-01 00:00:00,dates_for_filing,01MAR23,F,2.001368925393566
EB3_OW,2021-05-22,2025-03-01 00:00:00,dates_for_filing,22MAY21,F,3.7754962354551678
EB4,2021-02-01,2025-03-01 00:00:00,dates_for_filing,01FEB21,F,4.076659822039699
EB1,2025-03-01,2025-03-01 00:00:00,dates_for_filing,C,C,0.0
EB5_UNRESERVED,2025-03-01,2025-03-01 00:00:00,dates_for_filing,C,C,0.0
EB5_RURAL,2025-03-01,2025-03-01 00:00:00,dates_for_filing,C,C,0.0
EB5_HIGHUNEMP,2025-03-01,2025-03-01 00:00:00,dates_for_filing,C,C,0.0
EB2,2023-08-01,2025-03-01 00:00:00,dates_for_filing,01AUG23,F,1.5824777549623545
EB5_INFRA,2025-03-01,2025-03-01 00:00:00,dates_for_filing,C,C,0.0
EB5_INFRA,2025-03-01,2025-03-01 00:00:00,final_action,C,C,0.0
