number,value,datetime_start,datetime_complete,duration,params_depth,params_l2_leaf_reg,params_lags,params_learning_rate,params_n_estimators,params_subsample,state
70,0.10004446643514278,2026-07-06 03:54:37.734632,2026-07-06 03:54:45.807392,0 days 00:00:08.072760,8,3.2892128460423606,12,0.005882281884131943,560,0.7117219805614721,COMPLETE
71,0.109771427763019,2026-07-06 03:54:45.884649,2026-07-06 03:54:56.703996,0 days 00:00:10.819347,9,3.3616746430019813,12,0.012818031327807925,519,0.9248665212238838,COMPLETE
72,0.09474931841419781,2026-07-06 03:54:56.763034,2026-07-06 03:55:07.262674,0 days 00:00:10.499640,9,2.6293235051659276,12,0.003225772756572575,505,0.9765487206585196,COMPLETE
73,0.10315981681328112,2026-07-06 03:55:07.327377,2026-07-06 03:55:17.508278,0 days 00:00:10.180901,10,1.711104864865933,12,0.01455896941648777,315,0.9025878539708463,COMPLETE
74,0.08988848470472668,2026-07-06 03:55:17.572936,2026-07-06 03:55:22.458531,0 days 00:00:04.885595,10,1.279960966613958,12,0.00418894757057924,135,0.7724921846973458,COMPLETE
75,0.09093614440009092,2026-07-06 03:55:22.521235,2026-07-06 03:55:27.882392,0 days 00:00:05.361157,10,1.7626072222391203,12,0.005163195791456176,155,0.8103134666182009,COMPLETE
76,0.09681265575782075,2026-07-06 03:55:27.946072,2026-07-06 03:55:33.784248,0 days 00:00:05.838176,7,10.15838552076185,36,0.004206591741717212,308,0.5973217775932269,COMPLETE
77,0.09614433753044833,2026-07-06 03:55:33.855412,2026-07-06 03:55:53.028900,0 days 00:00:19.173488,7,7.648119973343734,24,0.007255233789421579,1485,0.5388459399824379,COMPLETE
78,0.11618224847305567,2026-07-06 03:55:53.088994,2026-07-06 03:56:04.286924,0 days 00:00:11.197930,6,7.681204127248296,24,0.020880385758978135,1226,0.8208620912276366,COMPLETE
79,0.16226915413520349,2026-07-06 03:56:04.346049,2026-07-06 03:56:20.923984,0 days 00:00:16.577935,9,3.453911131348887,12,0.06927925690796803,791,0.5030376507152364,COMPLETE
80,0.09435579407784728,2026-07-06 03:56:20.993369,2026-07-06 03:56:26.756762,0 days 00:00:05.763393,10,1.2260680309465082,12,0.008172608147663402,184,0.8247163381353521,COMPLETE
81,0.09056515164218368,2026-07-06 03:56:26.811358,2026-07-06 03:56:33.104644,0 days 00:00:06.293286,10,1.3389469271984251,12,0.0033500736457058545,203,0.8547234021113935,COMPLETE
82,0.09163269465402343,2026-07-06 03:56:33.163319,2026-07-06 03:56:37.760602,0 days 00:00:04.597283,10,1.0551079640127565,12,0.0046518101177144945,134,0.8927773534027373,COMPLETE
83,0.09279512362772832,2026-07-06 03:56:37.824719,2026-07-06 03:56:43.993899,0 days 00:00:06.169180,10,4.841717272297639,12,0.0079891125760351,200,0.798954922442357,COMPLETE
84,0.09450319308072808,2026-07-06 03:56:44.060713,2026-07-06 03:56:49.096647,0 days 00:00:05.035934,8,29.145459840548092,30,0.006618705168234524,189,0.8167630529077798,COMPLETE
85,0.09326713332069712,2026-07-06 03:56:49.163227,2026-07-06 03:56:56.831184,0 days 00:00:07.667957,9,1.5848491974164682,12,0.0033911963184884387,345,0.8656723097403635,COMPLETE
86,0.10255657841202442,2026-07-06 03:56:56.894405,2026-07-06 03:57:02.486489,0 days 00:00:05.592084,3,1.9989064481468812,24,0.00397719809843506,1314,0.6107017809566733,COMPLETE
87,0.09397503403160472,2026-07-06 03:57:02.553222,2026-07-06 03:57:12.671575,0 days 00:00:10.118353,10,1.4563859300783502,18,0.003449422838109064,250,0.885014016468868,COMPLETE
88,0.10090817847609437,2026-07-06 03:57:12.732315,2026-07-06 03:57:30.180317,0 days 00:00:17.448002,6,3.8939620343544883,36,0.003388676943376161,1463,0.8310953351117746,COMPLETE
89,0.09253644440522843,2026-07-06 03:57:30.251981,2026-07-06 03:57:37.447772,0 days 00:00:07.195791,10,1.1931518602544917,12,0.005971297021662714,217,0.740675568442742,COMPLETE
90,0.1637361922471779,2026-07-06 03:57:37.500016,2026-07-06 03:57:46.074548,0 days 00:00:08.574532,7,17.934613623611277,12,0.05443174232833488,936,0.9700745429084378,COMPLETE
91,0.09363013484318514,2026-07-06 03:57:46.131481,2026-07-06 03:57:53.799888,0 days 00:00:07.668407,10,2.665141222648848,18,0.00476720619740466,193,0.7514503501647057,COMPLETE
92,0.09098826374989438,2026-07-06 03:57:53.861133,2026-07-06 03:57:57.305710,0 days 00:00:03.444577,9,1.0760046183088667,12,0.0032423840897409946,138,0.6877972647036035,COMPLETE
93,0.09978257892463321,2026-07-06 03:57:57.374454,2026-07-06 03:57:59.590269,0 days 00:00:02.215815,3,9.011585553962087,30,0.02908402458362828,315,0.8411440531177388,COMPLETE
94,0.09742195731636974,2026-07-06 03:57:59.656955,2026-07-06 03:58:02.712674,0 days 00:00:03.055719,8,1.094314527594221,12,0.010809340968563046,170,0.6653262746833605,COMPLETE
95,0.09136114643318075,2026-07-06 03:58:02.778869,2026-07-06 03:58:12.138630,0 days 00:00:09.359761,10,1.663718536375198,12,0.0031743771054456114,287,0.7895283757051008,COMPLETE
96,0.0990732188502384,2026-07-06 03:58:12.199792,2026-07-06 03:58:39.837166,0 days 00:00:27.637374,9,4.5810289062984895,36,0.010565965946219825,681,0.7767462840513174,COMPLETE
97,0.09233255749474092,2026-07-06 03:58:39.927351,2026-07-06 03:58:45.758052,0 days 00:00:05.830701,10,1.1187484477063143,12,0.0056657848840784494,147,0.5735159153340995,COMPLETE
98,0.0909898300079093,2026-07-06 03:58:45.845419,2026-07-06 03:58:49.901265,0 days 00:00:04.055846,9,1.5955234095177893,12,0.004373513183081629,137,0.7446596050392156,COMPLETE
99,0.10102628193120508,2026-07-06 03:58:49.988464,2026-07-06 03:58:53.097290,0 days 00:00:03.108826,7,2.3039068686619273,12,0.011715186829614126,237,0.8062156164040464,COMPLETE
100,0.10919229583321408,2026-07-06 03:58:53.160259,2026-07-06 03:59:07.990176,0 days 00:00:14.829917,10,3.5839152384931587,12,0.014538058533908873,453,0.5950513420061763,COMPLETE
101,0.09201015215265472,2026-07-06 03:59:08.084551,2026-07-06 03:59:13.666628,0 days 00:00:05.582077,10,2.3838778097522324,12,0.0041754491087052864,147,0.8303433243498783,COMPLETE
102,0.09034727720952279,2026-07-06 03:59:13.755992,2026-07-06 03:59:19.447577,0 days 00:00:05.691585,10,1.0627978348698217,12,0.003721260252325149,144,0.8044089482861482,COMPLETE
103,0.09125528292116791,2026-07-06 03:59:19.523864,2026-07-06 03:59:24.663296,0 days 00:00:05.139432,10,1.245293597726967,12,0.003960866101901109,133,0.8017053462207427,COMPLETE
104,0.0996811302777266,2026-07-06 03:59:24.741075,2026-07-06 03:59:33.878636,0 days 00:00:09.137561,8,1.1549449379119685,18,0.006268038199400046,474,0.7216537545928351,COMPLETE
105,0.10015645918795921,2026-07-06 03:59:33.962707,2026-07-06 03:59:46.985381,0 days 00:00:13.022674,7,5.293334986207935,18,0.004241085825071938,1057,0.9663162487199509,COMPLETE
106,0.10593298199350659,2026-07-06 03:59:47.072037,2026-07-06 04:00:47.151410,0 days 00:01:00.079373,10,1.1821502609562955,30,0.03838888002123444,934,0.8089708955523399,COMPLETE
