unique_id,ds,y,control-bitcn
china/employment/EB3_OW,2025-01-01,15341.0,15342.694236397743
china/employment/EB3_OW,2025-02-01,15341.0,15342.145589232445
china/employment/EB3_OW,2025-03-01,15341.0,15342.12102174759
china/employment/EB3_OW,2025-04-01,15431.0,15341.79437726736
china/employment/EB3_OW,2025-05-01,15431.0,15431.719064414501
china/employment/EB3_OW,2025-06-01,15431.0,15432.092703938484
china/employment/EB3_OW,2025-07-01,15461.0,15431.842866241932
china/employment/EB3_OW,2025-08-01,15461.0,15462.117816448212
china/employment/EB3_OW,2025-09-01,15461.0,15462.037439584732
china/employment/EB3_OW,2025-10-01,15675.0,15461.697185456753
china/employment/EB3_OW,2025-11-01,15675.0,15676.321264505386
china/employment/EB3_OW,2025-12-01,15682.0,15675.929155170918
china/employment/EB3_OW,2026-01-01,16047.0,15683.211051106453
china/employment/EB3_OW,2026-02-01,16047.0,16048.670856118202
china/employment/EB3_OW,2026-03-01,16047.0,16048.343101024628
china/employment/EB3_OW,2026-04-01,16102.0,16048.839042067528
china/employment/EB3_OW,2026-05-01,16102.0,16103.208598256111
china/employment/EB3_OW,2026-06-01,16161.0,16103.0545951128
china/employment/EB3_OW,2026-07-01,16161.0,16161.911064684391
china/employment/EB3_OW,2026-08-01,16191.0,16162.01427578926
china/employment/EB3_OW,2026-09-01,16191.0,16192.21215736866
china/family/F1,2024-10-01,14904.0,14904.532175958157
china/family/F1,2024-11-01,14904.0,14904.36353263259
china/family/F1,2024-12-01,14904.0,14904.3725925982
china/family/F1,2025-01-01,14935.0,14904.377452850342
china/family/F1,2025-02-01,14935.0,14935.349605709314
china/family/F1,2025-03-01,14935.0,14935.442294746637
china/family/F1,2025-04-01,15049.0,14935.309964239597
china/family/F1,2025-05-01,15049.0,15049.667403876781
china/family/F1,2025-06-01,15134.0,15049.40427839756
china/family/F1,2025-07-01,15171.0,15134.684265971184
china/family/F1,2025-08-01,15171.0,15171.491352707148
china/family/F1,2025-09-01,15171.0,15171.519833028316
china/family/F1,2025-10-01,15287.0,15171.528781473637
china/family/F1,2025-11-01,15287.0,15287.64351016283
china/family/F1,2025-12-01,15287.0,15287.586685657501
china/family/F1,2026-01-01,15287.0,15287.747058391571
china/family/F1,2026-02-01,15287.0,15287.627236127853
china/family/F1,2026-03-01,15287.0,15287.595211923122
china/family/F1,2026-04-01,15461.0,15287.595258891582
china/family/F1,2026-05-01,15584.0,15461.767677009106
china/family/F1,2026-06-01,15584.0,15584.754573047161
china/family/F1,2026-07-01,15737.0,15584.718433916569
china/family/F1,2026-08-01,16054.0,15738.128204703331
china/family/F1,2026-09-01,16457.0,16055.15006840229
china/family/F2A,2024-10-01,17127.0,17149.66246986389
china/family/F2A,2024-11-01,17167.0,17156.90245437622
china/family/F2A,2024-12-01,17167.0,17196.78715133667
china/family/F2A,2025-01-01,17167.0,17196.60857772827
china/family/F2A,2025-02-01,17167.0,17196.391666412354
china/family/F2A,2025-03-01,17167.0,17196.84001350403
china/family/F2A,2025-04-01,17167.0,17196.701765060425
china/family/F2A,2025-05-01,17167.0,17196.275205612183
china/family/F2A,2025-06-01,17167.0,17194.172538757324
china/family/F2A,2025-07-01,17410.0,17173.90934896469
china/family/F2A,2025-08-01,17410.0,17418.91757106781
china/family/F2A,2025-09-01,17410.0,17410.587250232697
china/family/F2A,2025-10-01,17928.0,17410.860139787197
china/family/F2A,2025-11-01,17928.0,17928.318041861057
china/family/F2A,2025-12-01,17928.0,17932.897824287415
china/family/F2A,2026-01-01,17928.0,17932.949113845825
china/family/F2A,2026-02-01,17928.0,17932.35414123535
china/family/F2A,2026-03-01,17928.0,17930.95482993126
china/family/F2A,2026-04-01,17928.0,17931.136357307434
china/family/F2A,2026-05-01,18110.0,17930.1778383255
china/family/F2A,2026-06-01,18263.0,18112.589111089706
china/family/F2A,2026-07-01,18263.0,18264.43428313732
china/family/F2A,2026-08-01,18830.0,18266.17539548874
china/family/F2A,2026-09-01,18861.0,18832.19192290306
china/family/F2B,2024-10-01,15096.0,15096.35560503602
china/family/F2B,2024-11-01,15096.0,15096.280645012856
china/family/F2B,2024-12-01,15096.0,15096.259517848492
china/family/F2B,2025-01-01,15117.0,15096.286935329437
china/family/F2B,2025-02-01,15117.0,15117.248835399747
china/family/F2B,2025-03-01,15117.0,15117.346898883581
china/family/F2B,2025-04-01,15178.0,15117.232422247529
china/family/F2B,2025-05-01,15178.0,15178.447780698538
