unique_id,ds,y,control-patchtst
philippines/family/F2B,2026-07-01,14014.0,13988.544144630432
philippines/family/F2B,2026-08-01,14031.0,14051.535217285156
philippines/family/F2B,2026-09-01,14031.0,14047.426467895508
philippines/family/F4,2024-10-01,10623.0,10625.321790218353
philippines/family/F4,2024-11-01,10623.0,10617.929488182068
philippines/family/F4,2024-12-01,10623.0,10631.234334945679
philippines/family/F4,2025-01-01,10713.0,10626.163507461548
philippines/family/F4,2025-02-01,10713.0,10770.592723846436
philippines/family/F4,2025-03-01,10880.0,10724.57548236847
philippines/family/F4,2025-04-01,10958.0,10948.692138671875
philippines/family/F4,2025-05-01,11109.0,11030.129447937012
philippines/family/F4,2025-06-01,11109.0,11230.20248413086
philippines/family/F4,2025-07-01,11323.0,11106.172472953796
philippines/family/F4,2025-08-01,11323.0,11439.453170776367
philippines/family/F4,2025-09-01,11323.0,11312.41490650177
philippines/family/F4,2025-10-01,11403.0,11329.98346710205
philippines/family/F4,2025-11-01,11403.0,11479.929336547852
philippines/family/F4,2025-12-01,11518.0,11419.469173431396
philippines/family/F4,2026-01-01,11525.0,11626.639472961426
philippines/family/F4,2026-02-01,11525.0,11555.23932647705
philippines/family/F4,2026-03-01,11566.0,11542.745000839233
philippines/family/F4,2026-04-01,11719.0,11601.416667938232
philippines/family/F4,2026-05-01,11883.0,11841.326583862305
philippines/family/F4,2026-06-01,11883.0,11991.492584228516
philippines/family/F4,2026-07-01,11900.0,11919.669414520264
philippines/family/F4,2026-08-01,11900.0,11924.557922363281
philippines/family/F4,2026-09-01,11921.0,11892.878018379211
