EB_level,priority_date,visa_bulletin_date,table_type,raw_value,status,visa_wait_time,raw_category
EB3_OW,2021-09-01,2026-01-01 00:00:00,final_action,01SEP21,F,4.334017796030117,Other Workers
EB4,2021-01-01,2026-01-01 00:00:00,final_action,01JAN21,F,4.999315537303217,4th
EB4_RW,2021-01-01,2026-01-01 00:00:00,final_action,01JAN21,F,4.999315537303217,Certain Religious Workers
EB5_HIGHUNEMP,2026-01-01,2026-01-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
High Unemployment (10%, including NH, RH)"
EB5_INFRA,2026-01-01,2026-01-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
Infrastructure (2%, including RI)"
EB5_RURAL,2026-01-01,2026-01-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
Rural (20%, including NR, RR)"
EB5_UNRESERVED,2026-01-01,2026-01-01 00:00:00,final_action,C,C,0.0,"5th Unreserved
(including C5, T5, I5, R5, NU, RU)"
EB1,2025-12-01,2025-12-01 00:00:00,dates_for_filing,C,C,0.0,1st
EB2,2024-07-15,2025-12-01 00:00:00,dates_for_filing,15JUL24,F,1.379876796714579,2nd
EB3,2023-07-01,2025-12-01 00:00:00,dates_for_filing,01JUL23,F,2.4202600958247777,3rd
EB3_OW,2021-12-01,2025-12-01 00:00:00,dates_for_filing,01DEC21,F,4.0,Other Workers
EB4,2021-02-15,2025-12-01 00:00:00,dates_for_filing,15FEB21,F,4.791238877481177,4th
EB4_RW,2021-02-15,2025-12-01 00:00:00,dates_for_filing,15FEB21,F,4.791238877481177,Certain Religious Workers
EB5_HIGHUNEMP,2025-12-01,2025-12-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(High Unemployment: NH, RH - 10%)"
EB5_INFRA,2025-12-01,2025-12-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(Infrastructure: RI - 2%)"
EB5_RURAL,2025-12-01,2025-12-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(Rural: NR, RR - 20%)"
EB5_UNRESERVED,2025-12-01,2025-12-01 00:00:00,dates_for_filing,C,C,0.0,"5th Unreserved
(including C5, T5, I5, R5)"
EB1,2025-12-01,2025-12-01 00:00:00,final_action,C,C,0.0,1st
EB2,2024-02-01,2025-12-01 00:00:00,final_action,01FEB24,F,1.8316221765913758,2nd
EB3,2023-04-15,2025-12-01 00:00:00,final_action,15APR23,F,2.631074606433949,3rd
EB3_OW,2021-08-01,2025-12-01 00:00:00,final_action,01AUG21,F,4.334017796030117,Other Workers
EB4,2020-09-01,2025-12-01 00:00:00,final_action,01SEP20,F,5.248459958932238,4th
EB4_RW,2020-09-01,2025-12-01 00:00:00,final_action,01SEP20,F,5.248459958932238,Certain Religious Workers
EB5_HIGHUNEMP,2025-12-01,2025-12-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
High Unemployment (10%, including NH, RH)"
EB5_INFRA,2025-12-01,2025-12-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
Infrastructure (2%, including RI)"
EB5_RURAL,2025-12-01,2025-12-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
Rural (20%, including NR, RR)"
EB5_UNRESERVED,2025-12-01,2025-12-01 00:00:00,final_action,C,C,0.0,"5th Unreserved
(including C5, T5, I5, R5, NU, RU)"
EB1,2025-11-01,2025-11-01 00:00:00,dates_for_filing,C,C,0.0,1st
EB2,2024-07-15,2025-11-01 00:00:00,dates_for_filing,15JUL24,F,1.297741273100616,2nd
EB3,2023-07-01,2025-11-01 00:00:00,dates_for_filing,01JUL23,F,2.3381245722108144,3rd
EB3_OW,2021-12-01,2025-11-01 00:00:00,dates_for_filing,01DEC21,F,3.917864476386037,Other Workers
EB4,2021-02-15,2025-11-01 00:00:00,dates_for_filing,15FEB21,F,4.7091033538672145,4th
EB4_RW,,2025-11-01 00:00:00,dates_for_filing,U,U,,Certain Religious Workers
EB5_HIGHUNEMP,2025-11-01,2025-11-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(High Unemployment: NH, RH - 10%)"
EB5_INFRA,2025-11-01,2025-11-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(Infrastructure: RI - 2%)"
EB5_RURAL,2025-11-01,2025-11-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(Rural: NR, RR - 20%)"
EB5_UNRESERVED,2025-11-01,2025-11-01 00:00:00,dates_for_filing,C,C,0.0,"5th Unreserved
(including C5, T5, I5, R5)"
EB1,2025-11-01,2025-11-01 00:00:00,final_action,C,C,0.0,1st
EB2,2023-12-01,2025-11-01 00:00:00,final_action,01DEC23,F,1.919233401779603,2nd
EB3,2023-04-01,2025-11-01 00:00:00,final_action,01APR23,F,2.5872689938398357,3rd
EB3_OW,2021-07-15,2025-11-01 00:00:00,final_action,15JUL21,F,4.298425735797399,Other Workers
EB4,2020-07-01,2025-11-01 00:00:00,final_action,01JUL20,F,5.336071184120465,4th
EB4_RW,,2025-11-01 00:00:00,final_action,U,U,,Certain Religious Workers
EB5_HIGHUNEMP,2025-11-01,2025-11-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
High Unemployment (10%, including NH, RH)"
EB5_INFRA,2025-11-01,2025-11-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
Infrastructure (2%, including RI)"
EB5_RURAL,2025-11-01,2025-11-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
Rural (20%, including NR, RR)"
EB5_UNRESERVED,2025-11-01,2025-11-01 00:00:00,final_action,C,C,0.0,"5th Unreserved
(including C5, T5, I5, R5, NU, RU)"
EB1,2025-10-01,2025-10-01 00:00:00,dates_for_filing,C,C,0.0,1st
EB2,2024-07-15,2025-10-01 00:00:00,dates_for_filing,15JUL24,F,1.212867898699521,2nd
EB3,2023-07-01,2025-10-01 00:00:00,dates_for_filing,01JUL23,F,2.2532511978097194,3rd
EB3_OW,2021-12-01,2025-10-01 00:00:00,dates_for_filing,01DEC21,F,3.8329911019849416,Other Workers
EB4,2021-02-15,2025-10-01 00:00:00,dates_for_filing,15FEB21,F,4.6242299794661195,4th
EB4_RW,,2025-10-01 00:00:00,dates_for_filing,U,U,,Certain Religious Workers
EB5_HIGHUNEMP,2025-10-01,2025-10-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(High Unemployment: NH, RH - 10%)"
EB5_INFRA,2025-10-01,2025-10-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(Infrastructure: RI - 2%)"
EB5_RURAL,2025-10-01,2025-10-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(Rural: NR, RR - 20%)"
EB5_UNRESERVED,2025-10-01,2025-10-01 00:00:00,dates_for_filing,C,C,0.0,"5th Unreserved
(including C5, T5, I5, R5)"
EB1,2025-10-01,2025-10-01 00:00:00,final_action,C,C,0.0,1st
EB2,2023-12-01,2025-10-01 00:00:00,final_action,01DEC23,F,1.834360027378508,2nd
EB3,2023-04-01,2025-10-01 00:00:00,final_action,01APR23,F,2.5023956194387407,3rd
EB3_OW,2021-07-15,2025-10-01 00:00:00,final_action,15JUL21,F,4.213552361396304,Other Workers
EB4,2020-07-01,2025-10-01 00:00:00,final_action,01JUL20,F,5.25119780971937,4th
EB4_RW,,2025-10-01 00:00:00,final_action,U,U,,Certain Religious Workers
EB5_HIGHUNEMP,2025-10-01,2025-10-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
High Unemployment (10%, including NH, RH)"
EB5_INFRA,2025-10-01,2025-10-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
Infrastructure (2%, including RI)"
EB5_RURAL,2025-10-01,2025-10-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
Rural (20%, including NR, RR)"
